Transaction unique identifier,Price,Date of Transfer,Property Type,Old/New,Duration,Town/City,District,County,PPDCategory Type,Record Status - monthly file only
{2C072C25-3C42-49BB-AF2D-5CA4A4C64573},107000,2004-07-29 00:00,F,Y,L,SHEFFIELD,SHEFFIELD,SOUTH YORKSHIRE,A,A
{85560AA1-0AB0-4AF8-ACE5-F096239B7895},39500,2002-08-16 00:00,T,N,F,NEWCASTLE,NEWCASTLE-UNDER-LYME,STAFFORDSHIRE,A,A
{89B79147-809F-4598-B39B-1458F4F78E77},415000,2002-12-17 00:00,D,N,F,BRACKNELL,BRACKNELL FOREST,BRACKNELL FOREST,A,A
{FEF334F3-66C3-4F33-A3A6-5AA748B08A7F},122995,2004-06-28 00:00,T,N,F,BASILDON,BASILDON,ESSEX,A,A
{62D0B05A-493E-4457-82E6-75C40D4C5F11},145000,2006-08-18 00:00,S,Y,F,MENAI BRIDGE,ISLE OF ANGLESEY,ISLE OF ANGLESEY,A,A
{A1CD46EE-7920-430E-AA9B-271E6F5F48F5},127500,2004-05-26 00:00,F,Y,L,COLCHESTER,COLCHESTER,ESSEX,A,A
{98C1D08D-A177-4F61-AB8F-CA587A8D08A7},499950,2007-08-29 00:00,F,N,L,LONDON,WANDSWORTH,GREATER LONDON,A,A
{245CDDCD-EA0C-4330-B093-FB26064CA8CD},89000,2006-08-24 00:00,F,N,L,SOUTHPORT,SEFTON,MERSEYSIDE,A,A
{3BEE90E4-AC7B-4C15-AE1D-D5D60A97BA4E},34000,1996-05-10 00:00,T,N,L,BLACKBURN,HYNDBURN,LANCASHIRE,A,A
{9C44BBEE-E899-43DB-90F7-D92585F61C1D},105995,2004-07-28 00:00,F,Y,L,LIVERPOOL,LIVERPOOL,MERSEYSIDE,A,A
{34428D7E-612E-B86C-E050-A8C06205059C},198500,2016-05-04 00:00,S,N,F,HARROGATE,HARROGATE,NORTH YORKSHIRE,A,A
{FF8939B9-0C62-41A3-BD20-380AD132EF4A},151000,2014-08-01 00:00,S,N,F,HIGHBRIDGE,SEDGEMOOR,SOMERSET,A,A
{B7343722-CAA6-4BD9-BCDE-D2C956E58D68},49000,2001-07-06 00:00,T,N,F,NOTTINGHAM,CITY OF NOTTINGHAM,CITY OF NOTTINGHAM,A,A
{0C9F39AE-0376-4CC8-B04A-2856C74959D2},187000,2012-03-30 00:00,T,N,F,BRISTOL,SOUTH GLOUCESTERSHIRE,SOUTH GLOUCESTERSHIRE,A,A
{EE8FA5AC-C474-4DD0-AAB2-AD7B5A626726},42500,1998-05-15 00:00,T,N,F,LEEDS,LEEDS,WEST YORKSHIRE,A,A
{0B0D8A21-478A-44C0-B24D-8C91DD65DC64},145000,2009-05-15 00:00,D,N,F,KETTERING,KETTERING,NORTHAMPTONSHIRE,A,A
{604197B1-31D5-423A-9399-EE3829948445},159000,2010-11-19 00:00,D,N,F,SPALDING,SOUTH HOLLAND,LINCOLNSHIRE,A,A
{B6D3343B-17E2-4F68-B0E4-208963F2FA4E},59995,1999-09-14 00:00,S,Y,F,WINSFORD,VALE ROYAL,CHESHIRE,A,A
{42A5A709-B892-56E8-E050-A8C06205331E},165500,2016-10-28 00:00,T,N,F,BEXHILL-ON-SEA,ROTHER,EAST SUSSEX,A,A
{4A568B10-63C7-4E6E-884C-8ACA4CEC59BD},475000,2013-07-05 00:00,S,N,F,WOKING,WOKING,SURREY,A,A
{52F3CF3E-4754-49FE-BD5A-30A8EF4E6DB6},88000,2002-08-09 00:00,T,N,L,CARDIFF,CARDIFF,CARDIFF,A,A
{4450117C-2AE7-4123-B04B-23B8EBBD3EBF},61500,2001-05-25 00:00,F,N,L,STAMFORD,SOUTH KESTEVEN,LINCOLNSHIRE,A,A
{1F33A655-866B-43FB-A9CB-7BD26F6F6A69},68500,2002-06-28 00:00,S,N,F,WIGSTON,OADBY AND WIGSTON,LEICESTERSHIRE,A,A
{E9B49404-B8A3-4B06-9EEC-BA37243DAE05},155995,2009-07-10 00:00,F,Y,L,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,A,A
{14FE12B7-ABAD-4273-A655-4048D48711C5},92000,2004-10-07 00:00,T,N,L,SHEFFIELD,SHEFFIELD,SOUTH YORKSHIRE,A,A
{85E03956-E8D7-4078-9F6E-3D6D1CCE0650},83500,2010-06-18 00:00,F,Y,L,CORBY,CORBY,NORTHAMPTONSHIRE,A,A
{D743A6C0-27C8-432B-BAF6-95EA8961CFBC},144950,2004-05-24 00:00,S,N,F,CHESTER,CHESTER,CHESHIRE,A,A
{1CFB511A-E83D-44F7-B138-89408A6E656C},200000,2015-06-05 00:00,D,N,F,SWADLINCOTE,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,A,A
{2D429493-C172-42D2-BA0C-7D5EBC91AEF4},234000,2015-02-09 00:00,D,N,F,TELFORD,WREKIN,WREKIN,A,A
{A4DDF67B-1AA4-4BA4-94DA-DA06D384DAAA},299950,2004-08-12 00:00,S,N,F,ESHER,ELMBRIDGE,SURREY,A,A
{A8A161D9-E424-493A-B19D-805F52382F0F},51950,1999-11-26 00:00,F,N,L,LONDON,NEWHAM,GREATER LONDON,A,A
{C284B946-A8A2-45F3-8726-F5AF11B63461},112000,2004-08-06 00:00,F,N,L,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,A,A
{CE747A29-2706-477A-9ECF-AF4CFCB632C1},89950,2002-09-13 00:00,T,N,F,CHESTER,CHESTER,CHESHIRE,A,A
{F5FD1E66-C27A-42CA-BD60-0813F9BEE1BD},285000,2014-11-26 00:00,D,N,F,CARLISLE,CARLISLE,CUMBRIA,A,A
{468788A4-D75C-41C0-A5C8-593CD916FE8B},142000,2007-04-12 00:00,T,N,F,SHREWSBURY,OSWESTRY,SHROPSHIRE,A,A
{F85C3F55-5BE0-438B-B33A-DA7D17404DED},185821,2010-06-17 00:00,F,N,L,PLYMOUTH,CITY OF PLYMOUTH,CITY OF PLYMOUTH,A,A
{B5D3AB5E-C532-4E7E-9CB9-71CD3FD6C9A8},250000,2005-03-21 00:00,F,N,L,LONDON,GREENWICH,GREATER LONDON,A,A
{31BE7759-67CC-4DC3-A8D1-906699BACC4D},32000,1998-07-06 00:00,F,Y,L,BEMBRIDGE,ISLE OF WIGHT,ISLE OF WIGHT,A,A
